촬영시각,파일명,배번,신뢰도
2025:04:13 08:46:33,DSC06304.JPG,?,0
2025:04:13 08:47:36,DSC06305.JPG,?,0
2025:04:13 08:47:36,DSC06306.JPG,?,0
2025:04:13 08:47:36,DSC06307.JPG,?,0
2025:04:13 08:47:37,DSC06308.JPG,?,0
2025:04:13 08:47:58,DSC06309.JPG,A50678,0.98
2025:04:13 08:47:58,DSC06310.JPG,A50678,1
2025:04:13 08:47:58,DSC06311.JPG,?,0
2025:04:13 08:47:58,DSC06312.JPG,?,0
2025:04:13 08:47:58,DSC06313.JPG,?,0
2025:04:13 08:47:59,DSC06314.JPG,?,0
2025:04:13 08:47:59,DSC06315.JPG,?,0
2025:04:13 08:47:59,DSC06316.JPG,?,0
2025:04:13 08:48:39,DSC06317.JPG,A50994,1
2025:04:13 08:48:39,DSC06318.JPG,A50994,1
2025:04:13 08:48:39,DSC06319.JPG,A50994,1
2025:04:13 08:48:39,DSC06320.JPG,A50994,1
2025:04:13 08:48:41,DSC06321.JPG,A50994,1
2025:04:13 08:48:41,DSC06322.JPG,A50994,1
2025:04:13 08:48:41,DSC06323.JPG,A50994,1
2025:04:13 08:49:06,DSC06324.JPG,A50103,1
2025:04:13 08:49:06,DSC06325.JPG,A50103,1
2025:04:13 08:49:07,DSC06326.JPG,A50103,1
2025:04:13 08:49:42,DSC06327.JPG,A50346,1
2025:04:13 08:49:42,DSC06328.JPG,A50346,1
2025:04:13 08:49:42,DSC06329.JPG,A50346,1
2025:04:13 08:49:43,DSC06330.JPG,A50346,1
2025:04:13 08:49:43,DSC06331.JPG,A50346,1
2025:04:13 08:49:43,DSC06332.JPG,A50346,1
2025:04:13 08:50:20,DSC06333.JPG,A50134,1
2025:04:13 08:50:20,DSC06334.JPG,?,0
2025:04:13 08:50:20,DSC06335.JPG,A50134,1
2025:04:13 08:50:22,DSC06336.JPG,A50134,1
2025:04:13 08:50:22,DSC06337.JPG,A50134,1
2025:04:13 08:50:52,DSC06338.JPG,A50141,1
2025:04:13 08:50:52,DSC06339.JPG,A50141,1
2025:04:13 08:50:52,DSC06340.JPG,A50141,1
2025:04:13 08:50:53,DSC06341.JPG,A50141,1
2025:04:13 08:50:53,DSC06342.JPG,A50141,1
2025:04:13 08:50:53,DSC06343.JPG,A50141,1
2025:04:13 08:51:09,DSC06344.JPG,A50600,1
2025:04:13 08:51:09,DSC06345.JPG,A50600,1
2025:04:13 08:51:11,DSC06346.JPG,A50600,1
2025:04:13 08:51:11,DSC06347.JPG,A50600,1
2025:04:13 08:51:11,DSC06348.JPG,A50600,1
2025:04:13 08:51:18,DSC06349.JPG,A50347,1
2025:04:13 08:51:18,DSC06350.JPG,A50347,1
2025:04:13 08:51:20,DSC06351.JPG,A50347,1
2025:04:13 08:51:20,DSC06352.JPG,A50347,1
2025:04:13 08:51:20,DSC06353.JPG,A50347,1
2025:04:13 08:51:31,DSC06354.JPG,A50173,1
2025:04:13 08:51:32,DSC06355.JPG,A50173,1
2025:04:13 08:51:32,DSC06355.JPG,A50337,1
2025:04:13 08:51:33,DSC06356.JPG,A50173,1
2025:04:13 08:51:33,DSC06356.JPG,A5033X,1
2025:04:13 08:51:33,DSC06357.JPG,A5033X,0.95
2025:04:13 08:51:33,DSC06357.JPG,A50173,1
2025:04:13 08:51:43,DSC06358.JPG,A50349,1
2025:04:13 08:51:43,DSC06358.JPG,A50275,1
2025:04:13 08:51:43,DSC06359.JPG,A50349,1
2025:04:13 08:51:43,DSC06359.JPG,A50275,1
2025:04:13 08:51:44,DSC06360.JPG,A50349,1
2025:04:13 08:51:44,DSC06361.JPG,A50349,1
2025:04:13 08:51:46,DSC06362.JPG,A51169,0.99
2025:04:13 08:51:46,DSC06362.JPG,A50875,0.98
2025:04:13 08:51:46,DSC06363.JPG,A50875,0.98
2025:04:13 08:51:46,DSC06363.JPG,A51169,0.99
2025:04:13 08:51:46,DSC06364.JPG,A51169,0.99
2025:04:13 08:51:46,DSC06364.JPG,A50875,0.99
2025:04:13 08:51:48,DSC06365.JPG,A51169,1
2025:04:13 08:51:48,DSC06365.JPG,A50875,1
2025:04:13 08:52:44,DSC06366.JPG,A50188,0.99
2025:04:13 08:52:44,DSC06367.JPG,A50188,1
2025:04:13 08:52:44,DSC06368.JPG,?,0
2025:04:13 08:52:58,DSC06369.JPG,A50726,1
2025:04:13 08:52:58,DSC06370.JPG,A50401,1
2025:04:13 08:52:59,DSC06371.JPG,A50726,1
2025:04:13 08:52:59,DSC06371.JPG,A50401,1
2025:04:13 08:53:00,DSC06372.JPG,A50726,1
2025:04:13 08:53:00,DSC06372.JPG,A50401,1
2025:04:13 08:53:00,DSC06373.JPG,A50726,1
2025:04:13 08:53:22,DSC06374.JPG,A50367,1
2025:04:13 08:53:22,DSC06375.JPG,A50367,1
2025:04:13 08:53:23,DSC06376.JPG,A50367,1
2025:04:13 08:53:23,DSC06377.JPG,A50367,1
2025:04:13 08:53:23,DSC06378.JPG,A50367,1
2025:04:13 08:53:25,DSC06379.JPG,?,0
2025:04:13 08:53:25,DSC06380.JPG,?,0
2025:04:13 08:53:26,DSC06381.JPG,?,0
2025:04:13 08:53:27,DSC06382.JPG,?,0
2025:04:13 08:53:27,DSC06383.JPG,?,0
2025:04:13 08:53:34,DSC06384.JPG,?,0
2025:04:13 08:53:34,DSC06385.JPG,?,0
2025:04:13 08:53:35,DSC06386.JPG,A50335,1
2025:04:13 08:53:35,DSC06387.JPG,?,0
2025:04:13 08:53:38,DSC06388.JPG,A50813,1
2025:04:13 08:53:38,DSC06389.JPG,A50987,1
2025:04:13 08:53:38,DSC06389.JPG,A50813,0.99
2025:04:13 08:53:40,DSC06390.JPG,A50512,1
2025:04:13 08:53:40,DSC06390.JPG,A50813,1
2025:04:13 08:53:40,DSC06391.JPG,A50512,1
2025:04:13 08:53:40,DSC06391.JPG,A50813,1
2025:04:13 08:53:42,DSC06392.JPG,A50512,1
2025:04:13 08:53:42,DSC06393.JPG,A50512,1
2025:04:13 08:53:42,DSC06394.JPG,A50512,1
2025:04:13 08:53:43,DSC06395.JPG,?,0
2025:04:13 08:53:48,DSC06396.JPG,A50352,1
2025:04:13 08:53:49,DSC06397.JPG,?,0
2025:04:13 08:53:49,DSC06398.JPG,A50352,1
2025:04:13 08:53:49,DSC06399.JPG,A50352,1
2025:04:13 08:53:49,DSC06400.JPG,A50352,1
2025:04:13 08:53:49,DSC06401.JPG,A5035X,1
2025:04:13 08:53:55,DSC06402.JPG,?,0
2025:04:13 08:53:55,DSC06403.JPG,A50892,0.99
2025:04:13 08:53:57,DSC06404.JPG,?,0
2025:04:13 08:53:57,DSC06405.JPG,?,0
2025:04:13 08:53:57,DSC06406.JPG,?,0
2025:04:13 08:53:58,DSC06407.JPG,?,0
2025:04:13 08:54:04,DSC06408.JPG,A50944,1
2025:04:13 08:54:04,DSC06409.JPG,?,0
2025:04:13 08:54:04,DSC06410.JPG,A50944,1
2025:04:13 08:54:05,DSC06411.JPG,?,0
2025:04:13 08:54:05,DSC06412.JPG,?,0
2025:04:13 08:54:23,DSC06413.JPG,A50870,1
2025:04:13 08:54:23,DSC06414.JPG,A50870,1
2025:04:13 08:54:24,DSC06415.JPG,?,0
2025:04:13 08:54:24,DSC06416.JPG,?,0
2025:04:13 08:54:28,DSC06417.JPG,A50171,1
2025:04:13 08:54:28,DSC06418.JPG,A50171,1
2025:04:13 08:54:28,DSC06419.JPG,?,0
2025:04:13 08:54:34,DSC06420.JPG,A50278,1
2025:04:13 08:54:34,DSC06421.JPG,?,0
2025:04:13 08:54:35,DSC06422.JPG,A50278,1
2025:04:13 08:54:35,DSC06423.JPG,A50278,1
2025:04:13 08:54:38,DSC06424.JPG,A50222,1
2025:04:13 08:54:38,DSC06425.JPG,?,0
2025:04:13 08:54:39,DSC06426.JPG,A50222,1
2025:04:13 08:54:39,DSC06427.JPG,A50222,0.93
2025:04:13 08:54:39,DSC06428.JPG,A50222,1
2025:04:13 08:54:40,DSC06429.JPG,A50063,1
2025:04:13 08:54:40,DSC06429.JPG,A50799,0.91
2025:04:13 08:54:40,DSC06430.JPG,A50063,1
