촬영시각,파일명,배번,신뢰도
2025:04:27 07:43:35,00001.jpg,❌,0.0
2025:04:27 07:43:35,00001.jpg,❌,0.0
2025:04:27 07:43:36,00002.jpg,❌,0.0
2025:04:27 07:43:36,00002.jpg,❌,0.0
2025:04:27 07:44:43,00003.jpg,❌,0.0
2025:04:27 07:44:43,00003.jpg,❌,0.0
2025:04:27 07:44:44,00004.jpg,❌,0.0
2025:04:27 07:44:44,00004.jpg,❌,0.0
2025:04:27 07:45:56,00005.jpg,❌,0.0
2025:04:27 07:45:56,00005.jpg,❌,0.0
2025:04:27 07:45:56,00006.jpg,❌,0.0
2025:04:27 07:45:56,00006.jpg,❌,0.0
2025:04:27 07:48:47,00007.jpg,❌,0.0
2025:04:27 07:48:47,00007.jpg,❌,0.0
2025:04:27 07:48:47,00008.jpg,❌,0.0
2025:04:27 07:48:47,00008.jpg,❌,0.0
2025:04:27 07:56:04,00009.jpg,❌,0.0
2025:04:27 07:56:04,00009.jpg,❌,0.0
2025:04:27 07:56:04,00010.jpg,❌,0.0
2025:04:27 07:56:04,00010.jpg,❌,0.0
2025:04:27 07:57:55,00011.jpg,❌,0.0
2025:04:27 07:57:55,00011.jpg,❌,0.0
2025:04:27 08:15:32,00012.jpg,❌,0.0
2025:04:27 08:15:32,00012.jpg,❌,0.0
2025:04:27 08:15:34,00013.jpg,❌,0.0
2025:04:27 08:15:34,00013.jpg,❌,0.0
2025:04:27 08:15:35,00014.jpg,❌,0.0
2025:04:27 08:15:35,00014.jpg,❌,0.0
2025:04:27 08:17:00,00015.jpg,❌,0.0
2025:04:27 08:17:00,00015.jpg,❌,0.0
2025:04:27 08:17:00,00016.jpg,❌,0.0
2025:04:27 08:17:00,00016.jpg,❌,0.0
2025:04:27 08:17:13,00017.jpg,❌,0.0
2025:04:27 08:17:13,00017.jpg,❌,0.0
2025:04:27 08:17:13,00018.jpg,❌,0.0
2025:04:27 08:17:13,00018.jpg,❌,0.0
2025:04:27 08:17:23,00019.jpg,❌,0.0
2025:04:27 08:17:23,00019.jpg,❌,0.0
2025:04:27 08:17:23,00020.jpg,❌,0.0
2025:04:27 08:17:23,00020.jpg,❌,0.0
2025:04:27 08:17:25,00021.jpg,❌,0.0
2025:04:27 08:17:25,00021.jpg,❌,0.0
2025:04:27 08:17:25,00022.jpg,❌,0.0
2025:04:27 08:17:25,00022.jpg,❌,0.0
2025:04:27 08:17:29,00023.jpg,❌,0.0
2025:04:27 08:17:29,00023.jpg,❌,0.0
2025:04:27 08:17:29,00024.jpg,❌,0.0
2025:04:27 08:17:29,00024.jpg,❌,0.0
2025:04:27 08:17:31,00025.jpg,❌,0.0
2025:04:27 08:17:31,00025.jpg,❌,0.0
2025:04:27 08:17:31,00026.jpg,❌,0.0
2025:04:27 08:17:31,00026.jpg,❌,0.0
2025:04:27 08:17:39,00027.jpg,❌,0.0
2025:04:27 08:17:39,00027.jpg,❌,0.0
2025:04:27 08:17:39,00028.jpg,❌,0.0
2025:04:27 08:17:39,00028.jpg,❌,0.0
2025:04:27 08:17:45,00029.jpg,❌,0.0
2025:04:27 08:17:45,00029.jpg,❌,0.0
2025:04:27 08:17:45,00030.jpg,❌,0.0
2025:04:27 08:17:45,00030.jpg,❌,0.0
2025:04:27 08:17:47,00031.jpg,❌,0.0
2025:04:27 08:17:47,00031.jpg,❌,0.0
2025:04:27 08:17:47,00032.jpg,❌,0.0
2025:04:27 08:17:47,00032.jpg,❌,0.0
2025:04:27 08:17:49,00033.jpg,1719,0.98
2025:04:27 08:17:49,00033.jpg,1719,0.98
2025:04:27 08:17:49,00034.jpg,1719,1.0
2025:04:27 08:17:49,00034.jpg,2240,0.99
2025:04:27 08:17:49,00034.jpg,1719,1.0
2025:04:27 08:17:49,00034.jpg,2240,0.99
2025:04:27 08:17:57,00035.jpg,❌,0.0
2025:04:27 08:17:57,00035.jpg,❌,0.0
2025:04:27 08:17:57,00036.jpg,❌,0.0
2025:04:27 08:17:57,00036.jpg,❌,0.0
2025:04:27 08:17:59,00037.jpg,❌,0.0
2025:04:27 08:17:59,00037.jpg,❌,0.0
2025:04:27 08:17:59,00038.jpg,❌,0.0
2025:04:27 08:17:59,00038.jpg,❌,0.0
2025:04:27 08:18:00,00039.jpg,❌,0.0
2025:04:27 08:18:00,00039.jpg,❌,0.0
2025:04:27 08:18:00,00040.jpg,❌,0.0
