촬영시각,파일명,배번,신뢰도
2025:05:04 09:05:46,00001.jpg,20786,0.96
2025:05:04 09:05:46,00002.jpg,20786,1.0
2025:05:04 09:05:46,00003.jpg,20786,1.0
2025:05:04 09:05:47,00004.jpg,❌,0.0
2025:05:04 09:05:48,00005.jpg,20786,1.0
2025:05:04 09:05:48,00006.jpg,20786,1.0
2025:05:04 09:05:49,00007.jpg,20786,1.0
2025:05:04 09:05:57,00008.jpg,20026,1.0
2025:05:04 09:05:57,00009.jpg,20026,1.0
2025:05:04 09:05:57,00010.jpg,20026,1.0
2025:05:04 09:05:58,00011.jpg,20026,1.0
2025:05:04 09:05:58,00012.jpg,20026,1.0
2025:05:04 09:05:59,00013.jpg,20026,1.0
2025:05:04 09:06:21,00014.jpg,20118,1.0
2025:05:04 09:06:21,00015.jpg,20118,1.0
2025:05:04 09:06:21,00016.jpg,20118,1.0
2025:05:04 09:06:22,00017.jpg,20118,1.0
2025:05:04 09:06:22,00018.jpg,20262,0.84
2025:05:04 09:06:22,00019.jpg,20118,1.0
2025:05:04 09:06:29,00020.jpg,20612,1.0
2025:05:04 09:06:29,00021.jpg,20612,1.0
2025:05:04 09:06:29,00022.jpg,20612,1.0
2025:05:04 09:06:33,00023.jpg,20050,1.0
2025:05:04 09:06:33,00024.jpg,20050,1.0
2025:05:04 09:06:33,00025.jpg,20050,1.0
2025:05:04 09:06:34,00026.jpg,20252,0.86
2025:05:04 09:06:34,00027.jpg,❌,0.0
2025:05:04 09:06:36,00028.jpg,20785,1.0
2025:05:04 09:06:36,00028.jpg,20112,1.0
2025:05:04 09:06:37,00029.jpg,20785,1.0
2025:05:04 09:06:37,00029.jpg,20112,0.99
2025:05:04 09:06:37,00030.jpg,20785,1.0
2025:05:04 09:06:37,00030.jpg,20112,1.0
2025:05:04 09:06:38,00031.jpg,20112,1.0
2025:05:04 09:06:38,00031.jpg,20937,1.0
2025:05:04 09:06:38,00032.jpg,05020,0.59
2025:05:04 09:06:38,00033.jpg,20112,1.0
2025:05:04 09:06:39,00034.jpg,20937,1.0
2025:05:04 09:06:39,00034.jpg,20592,1.0
2025:05:04 09:06:39,00034.jpg,20112,1.0
2025:05:04 09:06:39,00034.jpg,20827,1.0
2025:05:04 09:06:39,00035.jpg,20937,1.0
2025:05:04 09:06:39,00035.jpg,20827,1.0
2025:05:04 09:06:39,00035.jpg,20827,1.0
2025:05:04 09:06:39,00036.jpg,20592,1.0
2025:05:04 09:06:39,00036.jpg,20937,0.99
2025:05:04 09:06:40,00037.jpg,20937,1.0
2025:05:04 09:06:40,00038.jpg,20937,1.0
2025:05:04 09:06:43,00039.jpg,20882,1.0
2025:05:04 09:06:43,00039.jpg,20139,1.0
2025:05:04 09:06:43,00039.jpg,20220,1.0
2025:05:04 09:06:43,00040.jpg,20882,0.99
2025:05:04 09:06:43,00040.jpg,20139,1.0
2025:05:04 09:06:43,00040.jpg,20220,1.0
2025:05:04 09:06:43,00041.jpg,20139,1.0
2025:05:04 09:06:43,00041.jpg,20882,1.0
2025:05:04 09:06:43,00041.jpg,20220,1.0
2025:05:04 09:06:44,00042.jpg,20139,1.0
2025:05:04 09:06:44,00043.jpg,20139,1.0
2025:05:04 09:06:44,00044.jpg,20139,1.0
2025:05:04 09:06:46,00045.jpg,20220,1.0
2025:05:04 09:06:46,00046.jpg,20220,0.99
2025:05:04 09:06:47,00047.jpg,20220,1.0
